rate_name,class,quality,bathroom,bedding,capacity,bedrooms,club,balcony,view,floor
rate_name,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
deluxe triple room,room,deluxe,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Premium Two Queen Room with Living Lrea,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Premier Premier      Seaview Sea,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,undefined
Queen room (1 Queen Bed),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Studio - Pool access Studio - Pool access pool,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Corner Suite Room Only,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family suite Family suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
PREMIUM STUDIO BURJ KHALIFA AND FOUNTAIN VIEW Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"junior suite,1 bedroom,partial sea view",suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
DELUXE ROOM Half Board,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Larger Guest room, 2 Double, Hollywood Tower Larger Guest room, 2 Double, Hollywood Tower",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Comfort Double or Twin Room, 1 Bedroom (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
"Suite, Balcony, Pool View (2 adults + 2 children) (2 Twin Beds and 2 Twin Sofa Beds)",room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Standard room with 1 double bed double (Main Building),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Economic Room - City View Single bed(1 Amount),room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
1-room studio apartment,studio,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Grand Executive One King Bed with Executive Lounge Access Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
3-room flat,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Apartment 1 Bedroom Marina View (2 Adults + 2 children) (2 Twin Beds and 2 Twin Sofa Beds),room,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
"Deluxe Deluxe Room (Resort), 1 Twin Bed",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Classic One Bedroom Suite Suite 1 bedroom - Classic (1 Double or 1 Twin),suite,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
Twin/Double room - Balcony - Sea View Twin/Double room - Balcony - Sea View sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Family FAMILY ROOM POOL VIEW Pool,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
DELUXE TERRACE POOL VIEW (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
